,features,coef,group
0,hyg_return,0.1175161823533517,index
1,tlt_return,-0.12297100196445589,index
2,vb_return,0.02214873244341876,index
3,vtv_return,0.017897360254792976,index
4,vug_return,0.1697154308954469,index
5,rut_return,0.012760003620344249,index
6,spx_return,0.10681263400783449,index
7,DGS10_return,-0.022944940519178468,bond market
8,DGS2_return,0.19389136676139573,bond market
9,DTB3_return,0.04068186638447174,bond market
10,DFF_return,0.35233359604217734,bond market
11,T10Y2Y_return,0.103334218326097,bond market
12,T5YIE_return,0.4337393246422637,bond market
13,BAMLH0A0HYM2_return,-0.29159748745558045,credit commodity and currency
14,DEXUSEU_return,0.014145082558849508,credit commodity and currency
15,KCFSI_return,0.006729255761184913,economic
16,DRTSCILM_return,-0.004303184202805499,economic
17,RSXFS_return,-0.07432611882192665,economic
18,MARTSMPCSM44000USS_return,0.009131106913240379,economic
19,H8B1058NCBCMG_return,0.006198608212573202,credit commodity and currency
20,DCOILWTICO_return,0.700586406820131,credit commodity and currency
21,VXVCLS_return,-0.043880883618261396,credit commodity and currency
22,H8B1247NCBCMG_return,-0.007895415775969186,credit commodity and currency
23,GASREGW_return,-0.4165220902857323,credit commodity and currency
24,CSUSHPINSA_return,-0.050576899205645134,credit commodity and currency
25,UNEMPLOY_return,0.5242172198712642,economic
